"CTY" "CLRS" "Shape.Reported" "State" "Time"
"16781" "Boston" "" "LIGHT" "NY" "7/3/2000 19:00"
"16787" "Potsdam" "" "TRIANGLE" "NY" "7/4/2000 18:00"
"16825" "Babylon" "" "FORMATION" "NY" "7/6/2000 23:20"
"16867" "Franklin Square" "" "" "NY" "7/9/2000 9:15"
"16889" "Spring Glen" "" "DISK" "NY" "7/12/2000 19:50"
"16903" "Sherman" "" "LIGHT" "NY" "7/12/2000 23:30"
"16910" "Addison" "" "CIRCLE" "NY" "7/13/2000 21:30"
"16919" "Troy" "" "DISK" "NY" "7/14/2000 3:00"
"16942" "New City" "" "TRIANGLE" "NY" "7/15/2000 21:30"
"16985" "Trumansburg" "" "LIGHT" "NY" "7/20/2000 23:00"
"16986" "Ocean Parkway" "RED" "CHEVRON" "NY" "7/20/2000 23:30"
"16999" "Valley Stream" "" "EGG" "NY" "7/23/2000 15:00"
"17001" "New York City" "" "OTHER" "NY" "7/23/2000 18:00"
"17003" "West Seneca" "" "LIGHT" "NY" "7/23/2000 18:30"
"17006" "New York City" "" "" "NY" "7/24/2000 0:00"
"17010" "Fire Island" "ORANGE" "CIRCLE" "NY" "7/24/2000 23:00"
"17044" "Rochester" "GREEN" "OTHER" "NY" "7/29/2000 0:00"
"17050" "Ithaca" "" "TEARDROP" "NY" "7/30/2000 20:20"
"17103" "Tupper Lake" "" "CIGAR" "NY" "8/4/2000 22:00"
"17129" "Malone" "" "CIRCLE" "NY" "8/7/2000 22:10"
"17133" "New York City" "" "VARIOUS" "NY" "8/8/2000 19:00"
"17136" "Canton" "" "DISK" "NY" "8/8/2000 22:15"
"17139" "Uniondale" "" "FIREBALL" "NY" "8/9/2000 0:15"
"17149" "Long Lake" "" "FORMATION" "NY" "8/10/2000 21:45"
"17151" "Indian Lake" "" "FORMATION" "NY" "8/10/2000 22:00"
"17152" "Redfield" "" "FORMATION" "NY" "8/10/2000 22:05"
"17154" "Maybrook" "" "OTHER" "NY" "8/10/2000 22:30"
"17186" "Buffalo" "" "LIGHT" "NY" "8/13/2000 22:00"
"17245" "West Seneca" "" "EGG" "NY" "8/19/2000 18:45"
"17260" "Maybrook" "" "OTHER" "NY" "8/20/2000 22:30"
"17261" "Middletown" "" "OTHER" "NY" "8/20/2000 22:30"
"17262" "New York City" "" "LIGHT" "NY" "8/20/2000 23:00"
"17263" "New York City" "" "LIGHT" "NY" "8/20/2000 23:00"
"17286" "Adams" "" "LIGHT" "NY" "8/24/2000 22:14"
"17313" "Aquebogue" "" "LIGHT" "NY" "8/31/2000 21:30"
"17329" "Orchard Park" "" "OTHER" "NY" "9/1/2000 23:12"
"17349" "Williamsville" "" "LIGHT" "NY" "9/6/2000 22:00"
"17354" "Syracuse" "" "TRIANGLE" "NY" "9/7/2000 20:30"
"17359" "New York City" "" "RECTANGLE" "NY" "9/8/2000 12:30"
"17360" "New York City" "" "RECTANGLE" "NY" "9/8/2000 12:30"
"17405" "Williamsville" "RED GREEN" "LIGHT" "NY" "9/13/2000 21:00"
"17441" "Selden" "" "CIRCLE" "NY" "9/16/2000 0:45"
"17444" "New York City" "" "FORMATION" "NY" "9/16/2000 15:30"
"17485" "Maybrook" "" "OTHER" "NY" "9/20/2000 22:30"
"17536" "Babylon" "" "CIRCLE" "NY" "9/27/2000 3:00"
"17585" "Jones Beach" "RED BLUE" "DIAMOND" "NY" "10/1/2000 23:15"
"17636" "Chemung" "" "OTHER" "NY" "10/8/2000 18:20"
"17637" "Chemung" "" "OTHER" "NY" "10/8/2000 18:20"
"17652" "Watertown" "" "LIGHT" "NY" "10/11/2000 20:00"
"17664" "Forest Hills" "GREEN" "CIRCLE" "NY" "10/13/2000 1:00"
"17694" "Mt. Kisco" "" "LIGHT" "NY" "10/15/2000 4:00"
"17713" "Bellerose" "YELLOW" "DISK" "NY" "10/16/2000 23:55"
"17735" "Westbury" "" "DISK" "NY" "10/20/2000 20:45"
"17754" "Harpursville" "RED BLUE" "VARIOUS" "NY" "10/23/2000 0:05"
"17791" "Prattsburgh" "" "FLASH" "NY" "10/27/2000 22:00"
"17801" "Poughkeepsie" "" "TRIANGLE" "NY" "10/28/2000 21:00"
"17848" "New City" "GREEN" "DISK" "NY" "10/31/2000 20:32"
"17851" "Commack" "" "EGG" "NY" "11/1/2000 3:00"
"17905" "Syracuse" "" "TRIANGLE" "NY" "11/10/2000 23:00"
"17906" "Slate Hill" "" "CIRCLE" "NY" "11/11/2000 5:00"
"17922" "Port Jefferson" "GREEN" "VARIOUS" "NY" "11/12/2000 21:45"
"17949" "Greenfield Center" "GREEN" "OTHER" "NY" "11/15/2000 19:00"
"17964" "Greenwich" "" "LIGHT" "NY" "11/17/2000 18:30"
"17967" "Monticello" "ORANGE" "VARIOUS" "NY" "11/17/2000 20:45"
"17969" "New York City" "" "TRIANGLE" "NY" "11/18/2000 1:30"
"17975" "Massapequa" "" "OVAL" "NY" "11/19/2000 3:00"
"18012" "Valley Stream" "" "TRIANGLE" "NY" "11/23/2000 20:06"
"18048" "Galway" "" "LIGHT" "NY" "11/30/2000 18:45"
"18065" "Seldon" "RED" "TRIANGLE" "NY" "12/2/2000 22:50"
"18074" "Monticello" "" "TRIANGLE" "NY" "12/4/2000 14:00"
"18078" "North Tonawanda" "" "OTHER" "NY" "12/4/2000 21:40"
"18087" "Tonawanda" "" "LIGHT" "NY" "12/6/2000 4:55"
"18127" "New York City" "" "VARIOUS" "NY" "12/15/2000 16:20"
"18190" "Buffalo" "" "FORMATION" "NY" "12/25/2000 18:30"
"18254" "Croton-on-Hudson" "" "FIREBALL" "NY" "1/1/2001 22:00"
"18285" "Ballston Lake" "" "TEARDROP" "NY" "1/5/2001 17:50"
"18379" "Hyde Park" "" "TRIANGLE" "NY" "1/12/2001 22:00"
"18393" "Ithaca" "" "SPHERE" "NY" "1/16/2001 6:30"
"18395" "Chatham" "GREEN BLUE" "OVAL" "NY" "1/17/2001 19:45"
"18401" "Jamaica" "" "" "NY" "1/19/2001 22:30"
"18404" "Poughquag" "" "CIRCLE" "NY" "1/20/2001 9:53"
"18405" "Ridge" "" "LIGHT" "NY" "1/20/2001 19:00"
"18417" "Huntington" "" "DIAMOND" "NY" "1/23/2001 1:30"
"18533" "Rochester" "" "LIGHT" "NY" "2/8/2001 20:15"
"18557" "Ballston Spa" "" "LIGHT" "NY" "2/11/2001 20:30"
"18567" "Rochester" "" "LIGHT" "NY" "2/13/2001 18:20"
"18570" "Castle Creek" "" "OTHER" "NY" "2/13/2001 22:00"
"18572" "New Rochelle" "" "DIAMOND" "NY" "2/14/2001 4:00"
"18596" "Long Island" "RED" "DIAMOND" "NY" "2/18/2001 18:58"
"18600" "Rochester" "" "FORMATION" "NY" "2/18/2001 21:05"
"18606" "Cutchogue" "" "DIAMOND" "NY" "2/19/2001 19:30"
"18621" "Fishkill" "" "DIAMOND" "NY" "2/21/2001 20:15"
"18671" "New York City" "" "OVAL" "NY" "3/1/2001 10:00"
"18701" "Marcy" "RED GREEN" "DISK" "NY" "3/6/2001 19:00"
"18710" "Saranac" "" "LIGHT" "NY" "3/7/2001 18:45"
"18711" "Hamburg" "RED YELLOW GREEN" "DISK" "NY" "3/7/2001 21:30"
"18738" "Livonia" "" "LIGHT" "NY" "3/11/2001 19:30"
"18798" "Orchard Park" "" "CIGAR" "NY" "3/17/2001 2:46"
"18806" "New York City" "" "CIRCLE" "NY" "3/18/2001 14:50"
"18884" "Lowman" "" "DISK" "NY" "3/27/2001 21:00"
"18924" "Vestal" "GREEN" "LIGHT" "NY" "4/2/2001 0:05"
"18928" "Barre" "ORANGE" "TRIANGLE" "NY" "4/2/2001 22:00"
"18944" "Miller Place" "" "DISK" "NY" "4/5/2001 4:30"
"18974" "Little Falls" "" "TRIANGLE" "NY" "4/12/2001 23:30"
"18991" "Long Beach" "" "CIRCLE" "NY" "4/14/2001 22:30"
"18992" "Burnt Hills" "" "" "NY" "4/15/2001 0:00"
"19006" "Briarwood" "" "OVAL" "NY" "4/16/2001 4:00"
"19008" "New York City" "" "DISK" "NY" "4/16/2001 11:00"
"19010" "New York City" "" "SPHERE" "NY" "4/16/2001 13:00"
"19053" "Lancaster" "" "FLASH" "NY" "4/23/2001 21:30"
"19059" "Robert Moses Causway North landfall" "" "" "NY" "4/24/2001 19:20"
"19089" "New York City" "" "OVAL" "NY" "4/28/2001 13:00"
"19090" "New York City" "" "OVAL" "NY" "4/28/2001 13:00"
"19109" "Coram" "" "LIGHT" "NY" "5/1/2001 4:30"
"19173" "New York City" "" "FORMATION" "NY" "5/12/2001 22:00"
"19194" "New York City" "" "OVAL" "NY" "5/15/2001 13:00"
"19197" "Watkins Glen" "" "CIRCLE" "NY" "5/15/2001 21:00"
"19199" "Mallory" "" "FLASH" "NY" "5/15/2001 22:45"
"19201" "Valatie" "" "DIAMOND" "NY" "5/15/2001 23:15"
"19204" "New York City" "GREEN" "TEARDROP" "NY" "5/16/2001 21:30"
"19215" "Mount KIsco" "" "TRIANGLE" "NY" "5/17/2001 23:00"
"19235" "New York City" "" "OVAL" "NY" "5/19/2001 22:30"
"19244" "New York City" "" "VARIOUS" "NY" "5/21/2001 1:00"
"19268" "Rochester" "" "FORMATION" "NY" "5/24/2001 14:40"
"19272" "Hicksville" "" "CONE" "NY" "5/25/2001 3:00"
"19286" "Star lake" "" "FORMATION" "NY" "5/26/2001 22:30"
"19323" "Long Island" "" "VARIOUS" "NY" "6/2/2001 19:00"
"19331" "Jamaica" "" "" "NY" "6/3/2001 23:30"
"19368" "New York City" "" "LIGHT" "NY" "6/9/2001 16:00"
"19386" "Maspeth" "" "DISK" "NY" "6/10/2001 22:00"
"19408" "Hamburg" "RED" "LIGHT" "NY" "6/13/2001 21:30"
"19444" "New York City" "" "DISK" "NY" "6/17/2001 0:00"
"19452" "New York City" "BLUE" "CIGAR" "NY" "6/18/2001 16:50"
"19528" "Mahopac" "" "CIRCLE" "NY" "6/26/2001 2:30"
"19567" "Pine Bush" "RED" "TRIANGLE" "NY" "6/30/2001 23:00"
"19620" "Sherman" "BLUE" "OVAL" "NY" "7/7/2001 0:18"
"19641" "Morristown" "" "LIGHT" "NY" "7/9/2001 22:13"
"19646" "Rome" "RED" "TRIANGLE" "NY" "7/10/2001 21:15"
"19690" "New York City" "" "TRIANGLE" "NY" "7/14/2001 23:11"
"19702" "New York City" "ORANGE" "CIRCLE" "NY" "7/15/2001 0:30"
"19703" "New York City" "" "LIGHT" "NY" "7/15/2001 0:30"
"19705" "Patchouge" "" "OVAL" "NY" "7/15/2001 0:30"
"19722" "Binghamton" "" "CHEVRON" "NY" "7/15/2001 11:00"
"19731" "Hamlin" "" "" "NY" "7/15/2001 21:00"
"19737" "Buffalo" "" "LIGHT" "NY" "7/16/2001 21:40"
"19741" "New York City" "" "DIAMOND" "NY" "7/16/2001 22:45"
"19760" "Weedsport" "" "SPHERE" "NY" "7/19/2001 4:00"
"19778" "Mayfield" "" "CIRCLE" "NY" "7/20/2001 22:45"
"19819" "Mount Morris" "" "TRIANGLE" "NY" "7/23/2001 18:00"
"19820" "Central Square" "ORANGE" "TRIANGLE" "NY" "7/23/2001 18:17"
"19836" "New York City" "" "DISK" "NY" "7/24/2001 12:00"
"19855" "Hastings On Hudson" "RED" "FORMATION" "NY" "7/26/2001 23:25"
"19857" "New York City" "" "OVAL" "NY" "7/27/2001 2:55"
"19907" "Binghamton" "" "EGG" "NY" "8/1/2001 19:15"
"19947" "New York City" "" "LIGHT" "NY" "8/5/2001 3:00"
"19971" "Ridge" "" "VARIOUS" "NY" "8/8/2001 0:01"
"19978" "Brant Lake" "" "SPHERE" "NY" "8/8/2001 23:00"
"19987" "Plattsburgh" "" "" "NY" "8/10/2001 5:00"
"20051" "Rockville Centre" "" "TRIANGLE" "NY" "8/15/2001 21:30"
"20054" "Lake Placid" "" "FIREBALL" "NY" "8/15/2001 22:00"
"20063" "Lowville" "" "OVAL" "NY" "8/16/2001 21:00"
"20126" "Mastic" "" "CIRCLE" "NY" "8/20/2001 22:30"
"20129" "New York City" "" "FLASH" "NY" "8/21/2001 0:20"
"20152" "St. Johnsville" "" "OTHER" "NY" "8/24/2001 23:33"
"20154" "Bayside" "" "" "NY" "8/25/2001 5:20"
"20166" "Levittown" "" "OTHER" "NY" "8/25/2001 21:10"
"20188" "Syracuse" "" "TRIANGLE" "NY" "8/28/2001 20:00"
"20232" "Lynbrook" "" "SPHERE" "NY" "9/2/2001 17:35"
"20242" "Oceanside" "" "FIREBALL" "NY" "9/3/2001 21:30"
"20247" "Whitesboro" "" "SPHERE" "NY" "9/4/2001 15:45"
"20317" "New York City" "" "" "NY" "9/11/2001 0:00"
"20321" "New York City" "" "SPHERE" "NY" "9/11/2001 5:00"
"20323" "New York City" "" "OTHER" "NY" "9/11/2001 6:00"
"20324" "New York City" "" "DISK" "NY" "9/11/2001 8:45"
"20325" "New York City" "" "OVAL" "NY" "9/11/2001 8:45"
"20327" "Madhatan" "" "EGG" "NY" "9/11/2001 9:00"
"20329" "New York" "" "LIGHT" "NY" "9/11/2001 9:00"
"20330" "New York" "" "TRIANGLE" "NY" "9/11/2001 9:05"
"20331" "New York City" "" "OTHER" "NY" "9/11/2001 9:10"
"20332" "New York City" "" "" "NY" "9/11/2001 10:00"
"20334" "New York City" "" "SPHERE" "NY" "9/11/2001 12:00"
"20337" "Commack" "" "CHEVRON" "NY" "9/11/2001 15:00"
"20355" "Schenectady" "" "LIGHT" "NY" "9/11/2001 23:30"
"20378" "Westbury" "" "" "NY" "9/13/2001 15:00"
"20383" "Kings Park" "" "OTHER" "NY" "9/13/2001 19:00"
"20386" "Berne" "BLUE" "LIGHT" "NY" "9/13/2001 22:00"
"20397" "Niagara Falls" "" "TEARDROP" "NY" "9/15/2001 0:05"
"20417" "Garden City Park" "" "" "NY" "9/16/2001 15:30"
"20421" "New York City" "" "CIRCLE" "NY" "9/16/2001 20:15"
"20445" "New York City" "" "VARIOUS" "NY" "9/20/2001 15:00"
"20448" "Glensfalls" "" "" "NY" "9/20/2001 22:00"
"20483" "New York City" "BLUE" "LIGHT" "NY" "9/26/2001 0:04"
"20485" "Thiells" "RED" "CIRCLE" "NY" "9/26/2001 19:35"
"20502" "New York City" "" "CONE" "NY" "9/29/2001 21:32"
"20503" "Poughquag" "YELLOW GREEN" "" "NY" "9/29/2001 22:00"
"20504" "Albany" "" "FORMATION" "NY" "9/29/2001 23:00"
"20507" "New York City" "" "LIGHT" "NY" "9/30/2001 1:53"
"20527" "Lafayette" "RED BLUE" "VARIOUS" "NY" "10/1/2001 21:00"
"20529" "Albany" "" "FLASH" "NY" "10/1/2001 22:30"
"20530" "New York City" "" "TRIANGLE" "NY" "10/1/2001 22:30"
"20590" "Poughkeepsie" "" "TRIANGLE" "NY" "10/13/2001 0:45"
"20612" "New York City" "" "TRIANGLE" "NY" "10/15/2001 14:00"
"20614" "New York City" "" "VARIOUS" "NY" "10/15/2001 15:00"
"20672" "Avon" "GREEN" "FIREBALL" "NY" "10/21/2001 22:00"
"20722" "Clarendon" "" "SPHERE" "NY" "10/29/2001 22:00"
"20728" "Syracuse" "" "" "NY" "10/30/2001 17:00"
"20752" "New York City" "" "LIGHT" "NY" "11/1/2001 19:00"
"20756" "Jewett" "" "TRIANGLE" "NY" "11/1/2001 21:00"
"20763" "New York City" "BLUE" "TEARDROP" "NY" "11/2/2001 22:30"
"20811" "New York City" "" "LIGHT" "NY" "11/11/2001 1:00"
"20816" "Carmel" "" "TRIANGLE" "NY" "11/11/2001 20:04"
"20818" "Pleasantville" "" "CIGAR" "NY" "11/11/2001 23:20"
"20861" "Cross River" "" "TRIANGLE" "NY" "11/17/2001 2:00"
"20889" "Geneva" "" "CIRCLE" "NY" "11/18/2001 4:15"
"20912" "Cross River" "" "TRIANGLE" "NY" "11/18/2001 16:00"
"20917" "New York City" "" "CHEVRON" "NY" "11/19/2001 2:00"
"20941" "New York City" "" "DISK" "NY" "11/23/2001 22:00"
"21054" "New York City" "RED" "LIGHT" "NY" "12/4/2001 20:40"
"21101" "New York City" "" "CIRCLE" "NY" "12/18/2001 5:00"
"21115" "Camden" "ORANGE" "CIRCLE" "NY" "12/21/2001 20:30"
"21138" "Port Jefferson Station" "" "" "NY" "12/26/2001 0:30"
"21141" "Port Jefferson Station" "" "SPHERE" "NY" "12/26/2001 12:30"
"21151" "Long Island City" "" "OTHER" "NY" "12/29/2001 0:00"
"21157" "Long Island City" "" "OTHER" "NY" "12/29/2001 23:59"
"21158" "Bethpage" "" "LIGHT" "NY" "12/30/2001 3:00"
"21167" "New Hyde Park" "" "OVAL" "NY" "1/1/2002 4:45"
"21189" "New York City" "" "DISK" "NY" "1/5/2002 8:40"
"21228" "Palisades" "" "CROSS" "NY" "1/10/2002 1:30"
"21238" "New York City" "" "CIRCLE" "NY" "1/11/2002 18:30"
"21243" "Scotchtown" "" "TRIANGLE" "NY" "1/12/2002 6:15"
"21246" "Greenwich" "" "FORMATION" "NY" "1/12/2002 17:00"
"21254" "Jackson Heights" "" "SPHERE" "NY" "1/13/2002 22:30"
"21280" "North Tonawanda" "" "FORMATION" "NY" "1/16/2002 0:10"
"21289" "Deer Park" "" "LIGHT" "NY" "1/18/2002 21:40"
"21290" "Goshen" "" "FIREBALL" "NY" "1/18/2002 22:30"
"21317" "Binghamton" "" "LIGHT" "NY" "1/24/2002 3:56"
"21336" "Ithaca" "" "CYLINDER" "NY" "1/26/2002 15:30"
"21371" "Mineville" "" "TRIANGLE" "NY" "2/2/2002 2:02"
"21377" "Schuyler Falls" "" "EGG" "NY" "2/2/2002 18:10"
"21459" "Astoria" "" "LIGHT" "NY" "2/12/2002 22:12"
"21534" "Copiague" "" "CIRCLE" "NY" "2/21/2002 23:48"
"21543" "Lynbrook" "" "OVAL" "NY" "2/23/2002 14:15"
"21584" "Oceanside" "" "" "NY" "3/1/2002 0:38"
"21593" "Whitestone" "" "TEARDROP" "NY" "3/2/2002 19:15"
"21616" "Syracuse" "" "FIREBALL" "NY" "3/9/2002 3:25"
"21625" "New York City" "" "DIAMOND" "NY" "3/11/2002 11:30"
"21666" "Levittown" "" "DISK" "NY" "3/16/2002 3:30"
"21668" "Granville" "" "" "NY" "3/16/2002 19:10"
"21675" "Eastchester" "" "DIAMOND" "NY" "3/17/2002 11:20"
"21676" "Eastchester" "" "DIAMOND" "NY" "3/17/2002 11:33"
"21711" "Allegany" "" "VARIOUS" "NY" "3/23/2002 11:07"
"21761" "Canandaigua" "" "LIGHT" "NY" "4/2/2002 23:30"
"21768" "New York City" "" "LIGHT" "NY" "4/5/2002 5:00"
"21769" "Depew" "" "TRIANGLE" "NY" "4/5/2002 19:00"
"21780" "Saratoga Springs" "" "LIGHT" "NY" "4/10/2002 19:46"
"21790" "Watertown" "" "OTHER" "NY" "4/11/2002 21:10"
"21842" "Buffalo" "" "FORMATION" "NY" "4/18/2002 21:45"
"21845" "Bloomingburgh" "RED" "" "NY" "4/19/2002 20:00"
"21854" "Cortland" "" "" "NY" "4/20/2002 22:00"
"21868" "New York City" "" "VARIOUS" "NY" "4/23/2002 23:34"
"21885" "Germantown" "" "SPHERE" "NY" "4/27/2002 13:10"
"21919" "Long Island" "" "EGG" "NY" "5/4/2002 15:45"
"21920" "Smithtown" "" "CIRCLE" "NY" "5/4/2002 16:00"
"21966" "New York City" "" "" "NY" "5/11/2002 14:30"
"21970" "Flushing" "" "FLASH" "NY" "5/12/2002 3:00"
"21977" "Huntington Station" "" "LIGHT" "NY" "5/12/2002 23:00"
"22008" "Ballston Lake" "" "" "NY" "5/15/2002 23:00"
"22009" "Glen Head" "" "TRIANGLE" "NY" "5/15/2002 23:30"
"22027" "Bay Shore" "" "CIRCLE" "NY" "5/19/2002 17:15"
"22031" "New York City" "" "CIGAR" "NY" "5/20/2002 11:30"
"22076" "Endicott" "" "CIGAR" "NY" "5/26/2002 18:25"
"22119" "New York City" "" "FIREBALL" "NY" "6/1/2002 19:00"
"22133" "Highland" "" "CIRCLE" "NY" "6/2/2002 22:12"
"22153" "Malta" "" "TRIANGLE" "NY" "6/6/2002 1:00"
"22173" "Massena" "" "DISK" "NY" "6/7/2002 12:58"
"22177" "Ithaca" "" "LIGHT" "NY" "6/7/2002 23:00"
"22211" "Centereach" "" "CONE" "NY" "6/10/2002 22:00"
"22259" "Lloyd Harbor" "" "TRIANGLE" "NY" "6/15/2002 23:00"
"22260" "Rochester" "" "LIGHT" "NY" "6/15/2002 23:00"
"22314" "Marion" "" "TEARDROP" "NY" "6/22/2002 15:00"
"22324" "New York City" "" "CYLINDER" "NY" "6/23/2002 3:00"
"22334" "New York City" "" "LIGHT" "NY" "6/24/2002 20:15"
"22363" "Selden" "" "FORMATION" "NY" "6/27/2002 22:25"
"22364" "New York City" "" "EGG" "NY" "6/28/2002 13:26"
"22389" "North Java" "" "TRIANGLE" "NY" "7/1/2002 23:00"
"22393" "Duanesburg" "" "LIGHT" "NY" "7/2/2002 2:30"
"22412" "Sherman" "" "CIGAR" "NY" "7/4/2002 15:00"
"22418" "New York City" "" "TRIANGLE" "NY" "7/4/2002 20:48"
"22420" "New York City" "" "CROSS" "NY" "7/4/2002 21:00"
"22476" "Rochester" "" "" "NY" "7/10/2002 19:24"
"22480" "Commack" "" "LIGHT" "NY" "7/10/2002 22:15"
"22497" "Buffalo" "" "" "NY" "7/12/2002 18:42"
"22513" "Northport" "" "LIGHT" "NY" "7/13/2002 23:59"
"22519" "LaGrangeville" "" "OVAL" "NY" "7/14/2002 13:00"
"22537" "New York City" "" "FIREBALL" "NY" "7/15/2002 15:00"
"22548" "Cold Spring" "RED YELLOW BLUE" "CIRCLE" "NY" "7/15/2002 22:30"
"22553" "New York City" "" "" "NY" "7/16/2002 10:00"
"22556" "Riverhead" "" "LIGHT" "NY" "7/16/2002 22:00"
"22585" "Chittenango" "" "" "NY" "7/20/2002 22:15"
"22586" "Maybrook" "" "FIREBALL" "NY" "7/20/2002 22:30"
"22614" "Albany" "" "FIREBALL" "NY" "7/24/2002 0:30"
"22615" "Albany" "" "FIREBALL" "NY" "7/24/2002 0:30"
"22627" "Shirley" "" "FORMATION" "NY" "7/25/2002 21:30"
"22628" "Shirley" "" "LIGHT" "NY" "7/25/2002 21:30"
"22655" "Mohawk" "" "LIGHT" "NY" "7/27/2002 22:30"
"22657" "Cheektowaga" "GREEN" "TRIANGLE" "NY" "7/28/2002 1:00"
"22662" "New York City" "" "VARIOUS" "NY" "7/28/2002 20:10"
"22672" "New York Mills" "RED GREEN" "FLASH" "NY" "7/29/2002 22:15"
"22706" "Cazenovia" "" "FLASH" "NY" "7/31/2002 22:30"
"22770" "New York City" "" "CIRCLE" "NY" "8/6/2002 19:00"
"22816" "New York City" "" "DISK" "NY" "8/10/2002 1:45"
"22824" "New York City" "" "DISK" "NY" "8/10/2002 13:00"
"22835" "Chazy" "" "LIGHT" "NY" "8/10/2002 22:30"
"22837" "West Sand Lake" "ORANGE" "FIREBALL" "NY" "8/10/2002 22:40"
"22848" "Rochester" "" "LIGHT" "NY" "8/11/2002 0:30"
"22850" "Rochester" "RED BLUE" "VARIOUS" "NY" "8/11/2002 2:00"
"22871" "I-90" "" "TRIANGLE" "NY" "8/12/2002 22:00"
"22888" "Rochester" "" "LIGHT" "NY" "8/13/2002 22:00"
"22890" "Rochester" "" "LIGHT" "NY" "8/13/2002 22:54"
"22903" "Syracuse" "" "TRIANGLE" "NY" "8/14/2002 21:00"
"22918" "New York City" "" "CIRCLE" "NY" "8/15/2002 21:00"
"22983" "White Plains" "" "DISK" "NY" "8/21/2002 18:30"
"22995" "Bohemia" "" "DIAMOND" "NY" "8/22/2002 17:00"
"23005" "Monroe" "" "EGG" "NY" "8/22/2002 23:40"
"23051" "Rochester" "" "TRIANGLE" "NY" "8/29/2002 3:20"
"23063" "Holland" "RED YELLOW" "CIRCLE" "NY" "8/30/2002 22:15"
"23096" "Oneonta" "" "DIAMOND" "NY" "9/3/2002 0:35"
"23149" "Astoria" "" "CIRCLE" "NY" "9/7/2002 15:00"
"23155" "Rochester" "" "OVAL" "NY" "9/7/2002 22:00"
"23163" "New York City" "" "LIGHT" "NY" "9/8/2002 0:20"
"23166" "Accord" "" "LIGHT" "NY" "9/8/2002 3:20"
"23169" "New York City" "" "SPHERE" "NY" "9/8/2002 16:00"
"23173" "Jamaica" "" "DISK" "NY" "9/8/2002 20:00"
"23177" "Central Square" "" "DISK" "NY" "9/8/2002 21:30"
"23179" "Hamburg" "" "CIRCLE" "NY" "9/8/2002 22:00"
"23180" "Glenfield" "" "CIRCLE" "NY" "9/8/2002 22:30"
"23187" "Moriches Bay" "" "" "NY" "9/9/2002 19:02"
"23188" "Moriches Bay" "" "" "NY" "9/9/2002 19:02"
"23189" "Moriches Bay" "" "" "NY" "9/9/2002 19:05"
"23199" "Elmont" "" "TRIANGLE" "NY" "9/11/2002 0:00"
"23201" "New York City" "" "SPHERE" "NY" "9/11/2002 21:00"
"23210" "Oneida" "YELLOW" "TRIANGLE" "NY" "9/12/2002 16:00"
"23360" "Center Moriches" "" "LIGHT" "NY" "9/28/2002 20:15"
"23361" "Glen Cove" "" "LIGHT" "NY" "9/28/2002 20:15"
"23365" "New York City" "" "LIGHT" "NY" "9/28/2002 21:00"
"23395" "Kingston" "" "CIGAR" "NY" "10/1/2002 7:30"
"23403" "New York City" "" "EGG" "NY" "10/1/2002 19:20"
"23404" "New York City" "GREEN" "LIGHT" "NY" "10/1/2002 19:50"
"23408" "New York City" "" "VARIOUS" "NY" "10/1/2002 23:20"
"23411" "Watertown" "" "RECTANGLE" "NY" "10/2/2002 19:20"
"23443" "Farmingdale" "" "LIGHT" "NY" "10/6/2002 3:00"
"23444" "Inwood" "" "LIGHT" "NY" "10/6/2002 5:50"
"23445" "Thousand Island Bridge" "" "DISK" "NY" "10/6/2002 7:15"
"23463" "Rome" "" "LIGHT" "NY" "10/7/2002 18:45"
"23587" "Albany" "" "" "NY" "10/20/2002 0:00"
"23588" "Albany" "" "CIGAR" "NY" "10/20/2002 0:00"
"23589" "Albany" "" "CYLINDER" "NY" "10/20/2002 0:00"
"23591" "Latham" "" "CYLINDER" "NY" "10/20/2002 12:00"
"23592" "Albany" "" "" "NY" "10/20/2002 16:00"
"23593" "Albany" "" "" "NY" "10/20/2002 16:00"
"23594" "Albany" "" "" "NY" "10/20/2002 16:00"
"23595" "Albany" "" "CIGAR" "NY" "10/20/2002 16:00"
"23602" "Albany" "" "CIGAR" "NY" "10/21/2002 10:00"
"23603" "Albany" "" "OTHER" "NY" "10/21/2002 12:30"
"23604" "Malone" "" "LIGHT" "NY" "10/21/2002 18:00"
"23610" "Albany" "RED BLUE" "TRIANGLE" "NY" "10/23/2002 20:15"
"23620" "Garrison" "" "LIGHT" "NY" "10/26/2002 21:30"
"23685" "New York City" "" "OVAL" "NY" "11/2/2002 17:30"
"23796" "New York City" "" "VARIOUS" "NY" "11/19/2002 0:45"
"23820" "Hamburg" "" "OTHER" "NY" "11/19/2002 23:30"
"23831" "Tonawanda" "" "CHEVRON" "NY" "11/21/2002 20:00"
"23877" "Amsterdam" "ORANGE" "FLASH" "NY" "11/28/2002 21:30"
"23910" "New York City" "" "FORMATION" "NY" "12/1/2002 17:15"
"23933" "Farmingdale" "" "TRIANGLE" "NY" "12/3/2002 18:40"
"24025" "New York City" "" "SPHERE" "NY" "12/17/2002 10:30"
"24040" "Canastota" "" "" "NY" "12/21/2002 6:10"
"24140" "Bayport" "" "CONE" "NY" "1/4/2003 21:41"
"24176" "Albany" "" "TRIANGLE" "NY" "1/8/2003 22:00"
"24183" "St. James" "" "CYLINDER" "NY" "1/9/2003 21:00"
"24186" "Lockport" "" "FLASH" "NY" "1/10/2003 4:45"
