"CTY","CLRS","Shape.Reported","State","Time"
"Geneva","","LIGHT","NY","3/7/1995 15:00"
"Binghamton","","","NY","4/19/1995 21:44"
"Killawog","RED YELLOW","LIGHT","NY","5/1/1995 18:00"
"Amsterdam","","","NY","5/3/1995 4:05"
"Alden","","LIGHT","NY","5/3/1995 22:30"
"Huntington","","","NY","5/6/1995 14:00"
"Silver Beach","","","NY","5/14/1995 20:37"
"Claverack","","TRIANGLE","NY","5/15/1995 18:00"
"Killawog","","LIGHT","NY","5/15/1995 18:30"
"Rochester","","FLASH","NY","5/17/1995 21:05"
"Wilton","","LIGHT","NY","6/1/1995 2:00"
"Syracuse","","FORMATION","NY","6/3/1995 13:00"
"Albany","","OTHER","NY","6/6/1995 21:00"
"New York","BLUE","TRIANGLE","NY","6/10/1995 23:00"
"Croton Falls","","OVAL","NY","6/18/1995 0:35"
"Farmingdale","","","NY","6/24/1995 22:30"
"Endicott","","","NY","6/27/1995 21:30"
"Northport","","LIGHT","NY","6/30/1995 10:00"
"New York City","","CIRCLE","NY","7/1/1995 0:00"
"Pendleton","","OTHER","NY","7/2/1995 13:30"
"Buffalo","","DISK","NY","7/27/1995 3:00"
"Rochester","RED GREEN","","NY","7/27/1995 23:20"
"Appalachian","","LIGHT","NY","8/15/1995 1:00"
"Cheektowaga","","","NY","8/25/1995 0:30"
"Monticello","","","NY","8/25/1995 0:40"
"Monticello","","CIRCLE","NY","8/25/1995 0:40"
"Olean","","TRIANGLE","NY","8/25/1995 9:15"
"New York City","","","NY","9/2/1995 23:00"
"Orangeburg","","","NY","9/12/1995 23:50"
"Buffalo","","OTHER","NY","9/14/1995 21:45"
"New York City","","","NY","9/15/1995 22:00"
"New York City","","","NY","9/15/1995 22:05"
"Wantagh","","TRIANGLE","NY","10/1/1995 22:00"
"New York City","RED","","NY","10/11/1995 18:30"
"New York City","","LIGHT","NY","10/13/1995 6:30"
"Rochester","","DISK","NY","10/21/1995 22:00"
"Utica","","DISK","NY","10/21/1995 22:20"
"Albany","","","NY","11/3/1995 0:00"
"Merrick","","CHEVRON","NY","11/17/1995 21:00"
"Moriches","","OTHER","NY","11/17/1995 22:05"
"Sector 18","GREEN","","NY","11/17/1995 22:20"
"Geneva","","","NY","12/4/1995 22:16"
"Glen","","","NY","12/12/1995 22:30"
"New York City","","TRIANGLE","NY","12/18/1995 20:00"
"Indian Falls","","","NY","12/28/1995 4:35"
"Ithaca","","","NY","2/16/1996 21:45"
"Byron","","FORMATION","NY","3/1/1996 19:00"
"Appalachin","","DISK","NY","3/20/1996 19:00"
"Medford","","","NY","3/24/1996 19:25"
"Purchase","","TRIANGLE","NY","4/1/1996 23:00"
"Rochester","","TRIANGLE","NY","5/1/1996 1:00"
"New York City","","FIREBALL","NY","5/5/1996 20:00"
"New York City","","LIGHT","NY","5/6/1996 20:00"
"New York City","","LIGHT","NY","5/6/1996 20:00"
"Rochester","ORANGE YELLOW","","NY","5/13/1996 22:45"
"Long Island","","CIRCLE","NY","6/1/1996 13:00"
"Dundee","","CROSS","NY","6/15/1996 19:00"
"Lake George","","LIGHT","NY","7/1/1996 3:00"
"Goshen","","LIGHT","NY","7/4/1996 21:30"
"East Setauket","","OTHER","NY","7/31/1996 21:00"
"Canandaigua","RED","TRIANGLE","NY","8/1/1996 20:30"
"Cheektowaga","","DISK","NY","8/12/1996 13:00"
"Centerport","","CROSS","NY","8/15/1996 21:30"
"Plattsburg","RED","TRIANGLE","NY","8/15/1996 23:30"
"Madrid","RED","OTHER","NY","9/15/1996 22:00"
"New York City","","OVAL","NY","10/1/1996 8:00"
"New York City","","TRIANGLE","NY","10/6/1996 15:00"
"Fire Island","","OTHER","NY","10/6/1996 22:00"
"Bandy","","","NY","11/16/1996 22:00"
"New York City","","","NY","11/16/1996 23:10"
"Odessa","","","NY","11/16/1996 23:10"
"Watkins Glen","GREEN","","NY","11/16/1996 23:20"
"Big Flats","","","NY","11/17/1996 4:30"
"Eden","","LIGHT","NY","1/8/1997 19:00"
"Long Beach","","EGG","NY","1/15/1997 17:30"
"Randolph","","CIRCLE","NY","2/16/1997 3:00"
"New York City","","LIGHT","NY","3/10/1997 19:30"
"New York City","","OVAL","NY","3/14/1997 23:59"
"Unadilla","","LIGHT","NY","3/22/1997 21:30"
"Cobleskill","ORANGE","LIGHT","NY","3/30/1997 0:45"
"Hastings On Hudson","","TRIANGLE","NY","4/7/1997 21:07"
"New York City","","OTHER","NY","4/25/1997 0:00"
"Syracuse","","","NY","5/1/1997 23:00"
"Great River","","OVAL","NY","5/15/1997 21:00"
"North Tonawanda","YELLOW","TRIANGLE","NY","5/24/1997 22:15"
"Syracuse","","TRIANGLE","NY","5/25/1997 22:00"
"Central New York","","LIGHT","NY","5/28/1997 22:00"
"Canastota","","LIGHT","NY","5/28/1997 23:12"
"Hinckley","","LIGHT","NY","5/29/1997 19:00"
"Mt. Vernon","","LIGHT","NY","6/1/1997 8:00"
"Albany","","OTHER","NY","6/1/1997 21:00"
"White Plains","","OTHER","NY","6/4/1997 21:20"
"New York City","","DISK","NY","6/5/1997 16:00"
"New York","","OTHER","NY","6/10/1997 12:00"
"Rochester","GREEN","TRIANGLE","NY","6/10/1997 21:00"
"Middletown","","","NY","6/15/1997 2:30"
"Medford","","SPHERE","NY","6/15/1997 21:00"
"Holland Patent","BLUE","CIRCLE","NY","6/20/1997 21:00"
"Ticonderoga","BLUE","TRIANGLE","NY","6/21/1997 11:28"
"North Babylon","","TRIANGLE","NY","6/27/1997 20:00"
"New York City","","SPHERE","NY","7/1/1997 18:00"
"Kingston","","DISK","NY","7/1/1997 21:00"
"Allegany","","SPHERE","NY","7/15/1997 11:00"
"Deer Field","RED","CIRCLE","NY","7/15/1997 21:00"
"Bridgehampton","","TRIANGLE","NY","7/20/1997 20:00"
"Buffalo","","VARIOUS","NY","7/20/1997 22:00"
"New York City","","OTHER","NY","8/7/1997 17:07"
"East Rochester","","SPHERE","NY","8/8/1997 18:00"
"West Islip","","OTHER","NY","8/8/1997 22:00"
"Buffalo","","SPHERE","NY","8/15/1997 20:15"
"Kings Park","GREEN","OTHER","NY","8/22/1997 10:50"
"Rhinebeck","","TRIANGLE","NY","9/23/1997 20:00"
"Brewster","","TRIANGLE","NY","9/23/1997 22:30"
"Jefferson","","OTHER","NY","10/1/1997 3:00"
"Utica","RED","LIGHT","NY","10/5/1997 20:30"
"Buffalo","","OTHER","NY","10/13/1997 3:00"
"Syracuse","","","NY","10/14/1997 16:00"
"New York City","","CYLINDER","NY","10/15/1997 15:00"
"New York City","","LIGHT","NY","11/1/1997 22:00"
"Sodus","","CIGAR","NY","11/12/1997 0:03"
"Lockport","","SPHERE","NY","11/15/1997 4:00"
"Varysburg","","TRIANGLE","NY","11/15/1997 21:30"
"Oswego","","OTHER","NY","11/18/1997 14:36"
"Rock Hill","","TRIANGLE","NY","11/20/1997 18:00"
"Fort Ann","","OTHER","NY","12/10/1997 20:00"
"Coxsacke","","LIGHT","NY","1/1/1998 20:30"
"Hudson","","TRIANGLE","NY","1/5/1998 20:00"
"New York City","","DIAMOND","NY","1/7/1998 23:30"
"New York City","","FORMATION","NY","1/15/1998 1:00"
"Shirley","","DISK","NY","1/31/1998 20:00"
"Callicoon","","OVAL","NY","2/10/1998 21:00"
"Burdett","","OTHER","NY","2/11/1998 22:15"
"Ontario","ORANGE","DISK","NY","2/26/1998 19:09"
"Windham","","FORMATION","NY","3/1/1998 19:00"
"Northport","","LIGHT","NY","3/11/1998 20:10"
"Harriman State Park","","LIGHT","NY","3/20/1998 0:00"
"Westhampton","","","NY","3/26/1998 21:30"
"Clifton Park","","OTHER","NY","3/27/1998 23:00"
"Binghamton","","OTHER","NY","4/13/1998 7:00"
"Oneonta","","LIGHT","NY","4/23/1998 4:01"
"New York City","","TRIANGLE","NY","5/1/1998 18:30"
"New York City","","TRIANGLE","NY","5/8/1998 19:15"
"Rose","","TRIANGLE","NY","5/15/1998 0:00"
"New York City","GREEN","OVAL","NY","5/15/1998 20:00"
"Elmira","","TRIANGLE","NY","5/29/1998 23:30"
"New Rochelle","","LIGHT","NY","6/1/1998 20:00"
"Elba","","LIGHT","NY","6/6/1998 22:00"
"Watertown","","CIRCLE","NY","6/7/1998 23:00"
"Lancaster","","CIRCLE","NY","6/15/1998 14:00"
"Rochester","","CHEVRON","NY","6/20/1998 22:30"
"Penfield","","CIRCLE","NY","6/27/1998 22:40"
"Albany","","RECTANGLE","NY","7/8/1998 7:30"
"New York City","","DISK","NY","7/9/1998 21:30"
"New Rochelle","","CIGAR","NY","7/10/1998 15:00"
"Angola","","FORMATION","NY","7/12/1998 22:00"
"New York City","","OTHER","NY","7/15/1998 14:00"
"Pine Bush","","SPHERE","NY","7/16/1998 22:00"
"Hicksville","","EGG","NY","7/19/1998 11:30"
"Rochester","","OTHER","NY","7/21/1998 12:00"
"Ballston Spa","GREEN BLUE","OVAL","NY","7/26/1998 21:30"
"Southampton","","VARIOUS","NY","7/27/1998 3:00"
"Castle Creek","","CIRCLE","NY","7/27/1998 21:13"
"Binghamton","RED","SPHERE","NY","8/1/1998 0:00"
"Olean","ORANGE","LIGHT","NY","8/1/1998 22:30"
"Plainview","BLUE","LIGHT","NY","8/13/1998 19:45"
"New York City","","LIGHT","NY","8/15/1998 23:30"
"Darien","","TRIANGLE","NY","8/17/1998 22:30"
"West Islip","","OTHER","NY","8/28/1998 19:00"
"New York City","","OVAL","NY","9/1/1998 1:00"
"Freeport","BLUE","SPHERE","NY","9/3/1998 23:38"
"Hartsdale","","TRIANGLE","NY","9/4/1998 22:03"
"Niagara Falls","GREEN","FLASH","NY","9/14/1998 0:00"
"Grand Island","","SPHERE","NY","9/14/1998 21:30"
"Jamestown","","EGG","NY","9/15/1998 12:00"
"Varysburg","RED","SPHERE","NY","9/15/1998 18:00"
"New York City","","TRIANGLE","NY","9/15/1998 18:30"
"Schenectady","GREEN","SPHERE","NY","9/23/1998 4:50"
"Rochester","","SPHERE","NY","9/23/1998 23:20"
"New York City","RED","FIREBALL","NY","9/24/1998 22:30"
"Fire Island Pines","","CYLINDER","NY","9/25/1998 12:15"
"Mt. Vernon","","OVAL","NY","9/26/1998 9:30"
"Rochester","ORANGE","FIREBALL","NY","9/29/1998 20:15"
"Belmont","","CIRCLE","NY","10/4/1998 23:00"
"NYC","","TRIANGLE","NY","10/10/1998 20:30"
"Corfu","","TRIANGLE","NY","10/26/1998 18:05"
"Maybrook","","","NY","11/13/1998 1:30"
"New York City","","CIRCLE","NY","11/19/1998 3:00"
"Albany","","OVAL","NY","12/3/1998 18:15"
"Albany","","LIGHT","NY","12/3/1998 18:30"
"Manchester","","FIREBALL","NY","12/10/1998 3:19"
"Saratoga Springs","","SPHERE","NY","12/15/1998 17:00"
"Saratoga Lake","","VARIOUS","NY","12/15/1998 17:40"
"Utica","","LIGHT","NY","12/18/1998 19:27"
"Silver Springs","ORANGE","SPHERE","NY","12/28/1998 23:50"
"Burnt Hills","ORANGE","LIGHT","NY","12/31/1998 23:30"
"Stillwater","","VARIOUS","NY","1/4/1999 21:50"
"Olean","","FIREBALL","NY","1/15/1999 22:30"
"Sherburne","","OVAL","NY","1/23/1999 20:00"
"New York City","","OTHER","NY","2/2/1999 10:00"
"New York City","","LIGHT","NY","2/21/1999 1:30"
"New York City","","LIGHT","NY","2/22/1999 19:00"
"Congers","","OTHER","NY","2/24/1999 0:00"
"Elmira Heights","","RECTANGLE","NY","2/24/1999 22:30"
"Johnson City","GREEN","FIREBALL","NY","2/25/1999 10:40"
"Binghamton","ORANGE","FORMATION","NY","2/28/1999 21:02"
"New York City","","RECTANGLE","NY","3/13/1999 19:35"
"New York City","","CIRCLE","NY","3/15/1999 22:10"
"Moira","RED","LIGHT","NY","3/17/1999 19:30"
"Horseheads","","CHEVRON","NY","3/20/1999 20:15"
"Rome","RED","","NY","3/21/1999 0:55"
"Warrensburg","","RECTANGLE","NY","4/1/1999 20:00"
"New York City","","OTHER","NY","4/1/1999 23:00"
"Manhasset","","TRIANGLE","NY","4/8/1999 20:45"
"Saratoga Lake","","OVAL","NY","4/10/1999 21:50"
"New York City","GREEN","LIGHT","NY","4/14/1999 20:15"
"Plattsburgh","","LIGHT","NY","4/20/1999 21:45"
"Findley Lake","","CIRCLE","NY","4/30/1999 14:45"
"Northport","","","NY","5/1/1999 21:00"
"Cherry Grove","","VARIOUS","NY","5/7/1999 0:30"
"Spencer","","LIGHT","NY","5/10/1999 21:00"
"Forest Hills","","TRIANGLE","NY","5/10/1999 22:15"
"Potsdam","","SPHERE","NY","5/12/1999 20:55"
"Douglason","YELLOW","LIGHT","NY","5/12/1999 22:00"
"Central Islip","","OVAL","NY","5/16/1999 0:30"
"Vestal","","CYLINDER","NY","5/30/1999 20:20"
"Rochester","GREEN","OTHER","NY","6/8/1999 11:10"
"Sleepy Hollow","","CIRCLE","NY","6/10/1999 22:21"
"Wallkill","","TRIANGLE","NY","6/11/1999 22:40"
"Ontario","","","NY","6/14/1999 1:00"
"Great River","","DISK","NY","6/15/1999 20:00"
"New York City","","DISK","NY","6/18/1999 17:15"
"Vestal","","CYLINDER","NY","6/18/1999 20:17"
"Orchard Park","","DISK","NY","6/23/1999 4:21"
"Dannemora","ORANGE","","NY","7/1/1999 19:00"
"Charalton","","LIGHT","NY","7/1/1999 23:00"
"Lackawanna","RED","DIAMOND","NY","7/4/1999 21:30"
"Lackawanna","RED","OTHER","NY","7/4/1999 21:30"
"New York City","","LIGHT","NY","7/11/1999 4:30"
"Chautaqua Road","","EGG","NY","7/12/1999 23:17"
"New Rochelle","","CIRCLE","NY","7/13/1999 19:30"
"Deer Park","","DISK","NY","7/14/1999 23:00"
"Ontario","","SPHERE","NY","7/15/1999 3:30"
"Malta","","LIGHT","NY","7/18/1999 1:00"
"Pound Ridge","","SPHERE","NY","7/18/1999 22:30"
"Modena","","CIGAR","NY","7/23/1999 22:30"
"Vestal","","LIGHT","NY","7/26/1999 21:30"
"Dolgeville","","TRIANGLE","NY","7/28/1999 23:30"
"Cleveland","","CIGAR","NY","8/1/1999 15:00"
"Utica","","OVAL","NY","8/2/1999 18:15"
"New York City","","TRIANGLE","NY","8/7/1999 17:00"
"New York City","","OVAL","NY","8/8/1999 13:00"
"Bloominggrove","","","NY","8/12/1999 22:30"
"East Northport","ORANGE","FIREBALL","NY","8/15/1999 22:55"
"Montauk","","CIRCLE","NY","8/15/1999 23:00"
"Syracuse","","OTHER","NY","8/22/1999 6:00"
"Newburgh","","TRIANGLE","NY","8/27/1999 19:00"
"New York City","","SPHERE","NY","8/28/1999 11:45"
"New York City","","CIRCLE","NY","8/28/1999 22:00"
"Raquette Lake","","LIGHT","NY","8/30/1999 22:30"
"Raquette Lake, adirondack mts.","","LIGHT","NY","8/30/1999 22:30"
"Hunter","","TRIANGLE","NY","8/31/1999 23:00"
"Willsboro","","CIRCLE","NY","9/1/1999 0:00"
"New York City","","TRIANGLE","NY","9/4/1999 20:00"
"Hudson River","RED","CIRCLE","NY","9/5/1999 4:20"
"Fort Edward","","TRIANGLE","NY","9/11/1999 21:30"
"Center Moriches","","LIGHT","NY","9/14/1999 20:00"
"New York City","","","NY","9/18/1999 1:00"
"New York","","LIGHT","NY","9/24/1999 19:30"
"Duanesburg","","LIGHT","NY","9/25/1999 22:00"
"New York City","","","NY","10/1/1999 17:00"
"Endicott","","FORMATION","NY","10/1/1999 21:30"
"Lewiston","","OTHER","NY","10/2/1999 12:00"
"Portville","","OVAL","NY","10/11/1999 20:15"
"Portville","","OVAL","NY","10/11/1999 20:15"
"Portville","YELLOW","OVAL","NY","10/11/1999 20:15"
"Portville","YELLOW BLUE","OVAL","NY","10/11/1999 20:15"
"Yonkers","","LIGHT","NY","10/14/1999 14:00"
"Old Westbury","","DISK","NY","10/15/1999 12:30"
"Buffalo","ORANGE","TRIANGLE","NY","10/15/1999 23:00"
"Moravia","RED","FLASH","NY","10/26/1999 19:10"
"Nassau","","TRIANGLE","NY","10/31/1999 18:45"
"New York City","","CIGAR","NY","11/1/1999 16:40"
"Hauppauge","","DISK","NY","11/5/1999 3:10"
"New York City","","LIGHT","NY","11/8/1999 6:32"
"Valatie","","TRIANGLE","NY","11/10/1999 20:00"
"Albany","ORANGE","FIREBALL","NY","11/16/1999 16:00"
"New York","","VARIOUS","NY","11/16/1999 18:55"
"Hilton","","FORMATION","NY","11/16/1999 19:00"
"New York City","","VARIOUS","NY","11/16/1999 19:03"
"Andes","","CYLINDER","NY","11/19/1999 22:00"
"Wappingers Falls","","LIGHT","NY","11/25/1999 21:00"
"Liberty","","CIRCLE","NY","11/27/1999 21:23"
"Purchase","","CIRCLE","NY","11/27/1999 21:30"
"Rochester","","","NY","12/3/1999 2:15"
"New York City","","LIGHT","NY","12/4/1999 11:00"
"North Syracuse","","LIGHT","NY","12/15/1999 0:00"
"Rock Hill","","LIGHT","NY","12/16/1999 20:00"
"Plainview","","TRIANGLE","NY","12/16/1999 21:30"
"New York City","","","NY","12/22/1999 19:00"
"Poughkeepsie","","CHEVRON","NY","12/25/1999 19:30"
"Jamaica Estates","BLUE","LIGHT","NY","12/26/1999 20:25"
"Jamaica Estates","BLUE","LIGHT","NY","12/26/1999 20:25"
"Gansevoort","YELLOW GREEN","SPHERE","NY","12/30/1999 19:30"
"New York City","","SPHERE","NY","1/1/2000 0:01"
"New York City","","OTHER","NY","2/1/2000 20:30"
"Long Island","RED GREEN","TRIANGLE","NY","2/2/2000 10:00"
"Glenwood Landing","","VARIOUS","NY","2/2/2000 17:00"
"Deer Park","","LIGHT","NY","2/9/2000 19:10"
"Buffalo","","CIRCLE","NY","2/12/2000 17:00"
"New York City","","OVAL","NY","2/14/2000 21:48"
"Flushing","","EGG","NY","2/15/2000 1:38"
"Tonawanda","","EGG","NY","2/26/2000 6:29"
"New York City","RED","DISK","NY","2/26/2000 10:00"
"Coram","","LIGHT","NY","3/1/2000 4:45"
"Pearl River","","OVAL","NY","3/2/2000 23:42"
"Elmira","","DISK","NY","3/9/2000 21:20"
"Falconer","","TRIANGLE","NY","3/12/2000 19:35"
"New York City","","","NY","3/14/2000 4:50"
"Pine Bush","","OTHER","NY","3/15/2000 8:30"
"Utica","","DISK","NY","3/15/2000 14:00"
"Syracuse","BLUE","LIGHT","NY","3/24/2000 3:15"
"Woodbury","","","NY","3/24/2000 20:27"
"Angelica","","FIREBALL","NY","3/30/2000 23:30"
"West Nyack","","OTHER","NY","3/31/2000 14:00"
"Montauk","","DISK","NY","4/14/2000 3:42"
"New York City","","DISK","NY","4/16/2000 12:00"
"Floral Park","","DISK","NY","4/29/2000 22:29"
"New York City","","FLASH","NY","5/1/2000 1:00"
"Triborough Bridge","GREEN","LIGHT","NY","5/6/2000 5:05"
"Bloomingburgh","","LIGHT","NY","5/6/2000 21:30"
"Candor","","OTHER","NY","5/12/2000 23:25"
"Eastchester","","CIRCLE","NY","5/14/2000 3:00"
"New Rochelle","","CIRCLE","NY","5/15/2000 20:00"
"Victor","RED GREEN","DISK","NY","5/25/2000 20:00"
"Ogdensburg","","VARIOUS","NY","5/26/2000 23:15"
"Nassau County","","DISK","NY","5/27/2000 21:00"
"Mineola","","TEARDROP","NY","6/1/2000 22:20"
"New York City","","CHEVRON","NY","6/3/2000 23:30"
"West Valley","","LIGHT","NY","6/9/2000 20:30"
"Levittown","GREEN","CYLINDER","NY","6/10/2000 21:35"
"","","SPHERE","NY","6/15/2000 15:00"
"Saratoga","BLUE","OVAL","NY","6/16/2000 14:00"
"Sunnyside","","LIGHT","NY","6/18/2000 4:30"
"Monroe","","RECTANGLE","NY","6/18/2000 23:06"
"New York City","RED","TRIANGLE","NY","6/19/2000 18:30"
"New York City","","OVAL","NY","6/25/2000 19:30"
"West Chazy","ORANGE","","NY","6/27/2000 0:03"
"Bedford","","LIGHT","NY","6/30/2000 22:00"
"Buffalo","","TRIANGLE","NY","6/30/2000 22:00"
"Palmyra","","","NY","7/1/2000 22:00"
"New York City","","TRIANGLE","NY","7/1/2000 22:15"
"Boston","","LIGHT","NY","7/3/2000 19:00"
"Potsdam","","TRIANGLE","NY","7/4/2000 18:00"
"Babylon","","FORMATION","NY","7/6/2000 23:20"
"Franklin Square","","","NY","7/9/2000 9:15"
"Spring Glen","","DISK","NY","7/12/2000 19:50"
"Sherman","","LIGHT","NY","7/12/2000 23:30"
"Addison","","CIRCLE","NY","7/13/2000 21:30"
"Troy","","DISK","NY","7/14/2000 3:00"
"New City","","TRIANGLE","NY","7/15/2000 21:30"
"Trumansburg","","LIGHT","NY","7/20/2000 23:00"
"Ocean Parkway","RED","CHEVRON","NY","7/20/2000 23:30"
"Valley Stream","","EGG","NY","7/23/2000 15:00"
"New York City","","OTHER","NY","7/23/2000 18:00"
"West Seneca","","LIGHT","NY","7/23/2000 18:30"
"New York City","","","NY","7/24/2000 0:00"
"Fire Island","ORANGE","CIRCLE","NY","7/24/2000 23:00"
"Rochester","GREEN","OTHER","NY","7/29/2000 0:00"
"Ithaca","","TEARDROP","NY","7/30/2000 20:20"
"Tupper Lake","","CIGAR","NY","8/4/2000 22:00"
"Malone","","CIRCLE","NY","8/7/2000 22:10"
"New York City","","VARIOUS","NY","8/8/2000 19:00"
"Canton","","DISK","NY","8/8/2000 22:15"
"Uniondale","","FIREBALL","NY","8/9/2000 0:15"
"Long Lake","","FORMATION","NY","8/10/2000 21:45"
"Indian Lake","","FORMATION","NY","8/10/2000 22:00"
"Redfield","","FORMATION","NY","8/10/2000 22:05"
"Maybrook","","OTHER","NY","8/10/2000 22:30"
"Buffalo","","LIGHT","NY","8/13/2000 22:00"
"West Seneca","","EGG","NY","8/19/2000 18:45"
"Maybrook","","OTHER","NY","8/20/2000 22:30"
"Middletown","","OTHER","NY","8/20/2000 22:30"
"New York City","","LIGHT","NY","8/20/2000 23:00"
"New York City","","LIGHT","NY","8/20/2000 23:00"
"Adams","","LIGHT","NY","8/24/2000 22:14"
"Aquebogue","","LIGHT","NY","8/31/2000 21:30"
"Orchard Park","","OTHER","NY","9/1/2000 23:12"
"Williamsville","","LIGHT","NY","9/6/2000 22:00"
"Syracuse","","TRIANGLE","NY","9/7/2000 20:30"
"New York City","","RECTANGLE","NY","9/8/2000 12:30"
"New York City","","RECTANGLE","NY","9/8/2000 12:30"
"Williamsville","RED GREEN","LIGHT","NY","9/13/2000 21:00"
"Selden","","CIRCLE","NY","9/16/2000 0:45"
"New York City","","FORMATION","NY","9/16/2000 15:30"
"Maybrook","","OTHER","NY","9/20/2000 22:30"
"Babylon","","CIRCLE","NY","9/27/2000 3:00"
"Jones Beach","RED BLUE","DIAMOND","NY","10/1/2000 23:15"
"Chemung","","OTHER","NY","10/8/2000 18:20"
"Chemung","","OTHER","NY","10/8/2000 18:20"
"Watertown","","LIGHT","NY","10/11/2000 20:00"
"Forest Hills","GREEN","CIRCLE","NY","10/13/2000 1:00"
"Mt. Kisco","","LIGHT","NY","10/15/2000 4:00"
"Bellerose","YELLOW","DISK","NY","10/16/2000 23:55"
"Westbury","","DISK","NY","10/20/2000 20:45"
"Harpursville","RED BLUE","VARIOUS","NY","10/23/2000 0:05"
"Prattsburgh","","FLASH","NY","10/27/2000 22:00"
"Poughkeepsie","","TRIANGLE","NY","10/28/2000 21:00"
"New City","GREEN","DISK","NY","10/31/2000 20:32"
"Commack","","EGG","NY","11/1/2000 3:00"
"Syracuse","","TRIANGLE","NY","11/10/2000 23:00"
"Slate Hill","","CIRCLE","NY","11/11/2000 5:00"
"Port Jefferson","GREEN","VARIOUS","NY","11/12/2000 21:45"
"Greenfield Center","GREEN","OTHER","NY","11/15/2000 19:00"
"Greenwich","","LIGHT","NY","11/17/2000 18:30"
"Monticello","ORANGE","VARIOUS","NY","11/17/2000 20:45"
"New York City","","TRIANGLE","NY","11/18/2000 1:30"
"Massapequa","","OVAL","NY","11/19/2000 3:00"
"Valley Stream","","TRIANGLE","NY","11/23/2000 20:06"
"Galway","","LIGHT","NY","11/30/2000 18:45"
"Seldon","RED","TRIANGLE","NY","12/2/2000 22:50"
"Monticello","","TRIANGLE","NY","12/4/2000 14:00"
"North Tonawanda","","OTHER","NY","12/4/2000 21:40"
"Tonawanda","","LIGHT","NY","12/6/2000 4:55"
"New York City","","VARIOUS","NY","12/15/2000 16:20"
"Buffalo","","FORMATION","NY","12/25/2000 18:30"
"Croton-on-Hudson","","FIREBALL","NY","1/1/2001 22:00"
"Ballston Lake","","TEARDROP","NY","1/5/2001 17:50"
"Hyde Park","","TRIANGLE","NY","1/12/2001 22:00"
"Ithaca","","SPHERE","NY","1/16/2001 6:30"
"Chatham","GREEN BLUE","OVAL","NY","1/17/2001 19:45"
"Jamaica","","","NY","1/19/2001 22:30"
"Poughquag","","CIRCLE","NY","1/20/2001 9:53"
"Ridge","","LIGHT","NY","1/20/2001 19:00"
"Huntington","","DIAMOND","NY","1/23/2001 1:30"
"Rochester","","LIGHT","NY","2/8/2001 20:15"
"Ballston Spa","","LIGHT","NY","2/11/2001 20:30"
"Rochester","","LIGHT","NY","2/13/2001 18:20"
"Castle Creek","","OTHER","NY","2/13/2001 22:00"
"New Rochelle","","DIAMOND","NY","2/14/2001 4:00"
"Long Island","RED","DIAMOND","NY","2/18/2001 18:58"
"Rochester","","FORMATION","NY","2/18/2001 21:05"
"Cutchogue","","DIAMOND","NY","2/19/2001 19:30"
"Fishkill","","DIAMOND","NY","2/21/2001 20:15"
"New York City","","OVAL","NY","3/1/2001 10:00"
"Marcy","RED GREEN","DISK","NY","3/6/2001 19:00"
"Saranac","","LIGHT","NY","3/7/2001 18:45"
"Hamburg","RED YELLOW GREEN","DISK","NY","3/7/2001 21:30"
"Livonia","","LIGHT","NY","3/11/2001 19:30"
"Orchard Park","","CIGAR","NY","3/17/2001 2:46"
"New York City","","CIRCLE","NY","3/18/2001 14:50"
"Lowman","","DISK","NY","3/27/2001 21:00"
"Vestal","GREEN","LIGHT","NY","4/2/2001 0:05"
"Barre","ORANGE","TRIANGLE","NY","4/2/2001 22:00"
"Miller Place","","DISK","NY","4/5/2001 4:30"
"Little Falls","","TRIANGLE","NY","4/12/2001 23:30"
"Long Beach","","CIRCLE","NY","4/14/2001 22:30"
"Burnt Hills","","","NY","4/15/2001 0:00"
"Briarwood","","OVAL","NY","4/16/2001 4:00"
"New York City","","DISK","NY","4/16/2001 11:00"
"New York City","","SPHERE","NY","4/16/2001 13:00"
"Lancaster","","FLASH","NY","4/23/2001 21:30"
"Robert Moses Causway North landfall","","","NY","4/24/2001 19:20"
"New York City","","OVAL","NY","4/28/2001 13:00"
"New York City","","OVAL","NY","4/28/2001 13:00"
"Coram","","LIGHT","NY","5/1/2001 4:30"
"New York City","","FORMATION","NY","5/12/2001 22:00"
"New York City","","OVAL","NY","5/15/2001 13:00"
"Watkins Glen","","CIRCLE","NY","5/15/2001 21:00"
"Mallory","","FLASH","NY","5/15/2001 22:45"
"Valatie","","DIAMOND","NY","5/15/2001 23:15"
"New York City","GREEN","TEARDROP","NY","5/16/2001 21:30"
"Mount KIsco","","TRIANGLE","NY","5/17/2001 23:00"
"New York City","","OVAL","NY","5/19/2001 22:30"
"New York City","","VARIOUS","NY","5/21/2001 1:00"
"Rochester","","FORMATION","NY","5/24/2001 14:40"
"Hicksville","","CONE","NY","5/25/2001 3:00"
"Star lake","","FORMATION","NY","5/26/2001 22:30"
"Long Island","","VARIOUS","NY","6/2/2001 19:00"
"Jamaica","","","NY","6/3/2001 23:30"
"New York City","","LIGHT","NY","6/9/2001 16:00"
"Maspeth","","DISK","NY","6/10/2001 22:00"
"Hamburg","RED","LIGHT","NY","6/13/2001 21:30"
"New York City","","DISK","NY","6/17/2001 0:00"
"New York City","BLUE","CIGAR","NY","6/18/2001 16:50"
"Mahopac","","CIRCLE","NY","6/26/2001 2:30"
